support,confidence,lift,artistID1,artistID2
0.102739726,0.456852792,1.674489731,00FQb4jTyendYWaN8pK0wa,04gDigrS5kc9YWfZHwBETP
0.102739726,0.376569038,1.674489731,04gDigrS5kc9YWfZHwBETP,00FQb4jTyendYWaN8pK0wa
0.087899543,0.390862944,1.738050452,00FQb4jTyendYWaN8pK0wa,06HL4z0CvFAxyc27GXpf02
0.087899543,0.390862944,1.738050452,06HL4z0CvFAxyc27GXpf02,00FQb4jTyendYWaN8pK0wa
0.081050228,0.360406091,1.734701846,00FQb4jTyendYWaN8pK0wa,0C8ZW7ezQVs4URX5aX7Kqx
0.081050228,0.39010989,1.734701846,0C8ZW7ezQVs4URX5aX7Kqx,00FQb4jTyendYWaN8pK0wa
0.092465753,0.411167513,1.748459908,00FQb4jTyendYWaN8pK0wa,0X2BH1fck6amBIoJhDVmmJ
0.092465753,0.393203883,1.748459908,0X2BH1fck6amBIoJhDVmmJ,00FQb4jTyendYWaN8pK0wa
0.086757991,0.385786802,1.586616144,00FQb4jTyendYWaN8pK0wa,0du5cEVh5yTK9QJze8zA0C
0.086757991,0.356807512,1.586616144,0du5cEVh5yTK9QJze8zA0C,00FQb4jTyendYWaN8pK0wa
0.089041096,0.395939086,1.651631617,00FQb4jTyendYWaN8pK0wa,0hCNtLu0JehylgoiP8L4Gh
0.089041096,0.371428571,1.651631617,0hCNtLu0JehylgoiP8L4Gh,00FQb4jTyendYWaN8pK0wa
0.085616438,0.38071066,2.348609423,00FQb4jTyendYWaN8pK0wa,10exVja0key0uqUkk6LJRT
0.085616438,0.528169014,2.348609423,10exVja0key0uqUkk6LJRT,00FQb4jTyendYWaN8pK0wa
0.093607306,0.416243655,2.209875404,00FQb4jTyendYWaN8pK0wa,163tK9Wjr9P9DmM0AVK7lm
0.093607306,0.496969697,2.209875404,163tK9Wjr9P9DmM0AVK7lm,00FQb4jTyendYWaN8pK0wa
0.099315068,0.441624365,1.924691264,00FQb4jTyendYWaN8pK0wa,1HY2Jd0NmPuamShAr6KMms
0.099315068,0.432835821,1.924691264,1HY2Jd0NmPuamShAr6KMms,00FQb4jTyendYWaN8pK0wa
0.124429224,0.553299492,1.533830238,00FQb4jTyendYWaN8pK0wa,1Xyo4u8uXC1ZmMpatF05PJ
0.124429224,0.344936709,1.533830238,1Xyo4u8uXC1ZmMpatF05PJ,00FQb4jTyendYWaN8pK0wa
0.082191781,0.365482234,1.57715486,00FQb4jTyendYWaN8pK0wa,1dfeR4HaWDbWqFHLkxsg1d
0.082191781,0.354679803,1.57715486,1dfeR4HaWDbWqFHLkxsg1d,00FQb4jTyendYWaN8pK0wa
0.098173516,0.436548223,2.236352302,00FQb4jTyendYWaN8pK0wa,1moxjboGR7GNWYIMWsRjgG
0.098173516,0.502923977,2.236352302,1moxjboGR7GNWYIMWsRjgG,00FQb4jTyendYWaN8pK0wa
0.089041096,0.395939086,1.643803979,00FQb4jTyendYWaN8pK0wa,1uNFoZAHBGtllmzznpCI3s
0.089041096,0.369668246,1.643803979,1uNFoZAHBGtllmzznpCI3s,00FQb4jTyendYWaN8pK0wa
0.090182648,0.401015228,1.51417819,00FQb4jTyendYWaN8pK0wa,1vCWHaC5f2uS3yhpwWbIA6
0.090182648,0.340517241,1.51417819,1vCWHaC5f2uS3yhpwWbIA6,00FQb4jTyendYWaN8pK0wa
0.087899543,0.390862944,2.062626139,00FQb4jTyendYWaN8pK0wa,2FXC3k01G6Gw61bmprjgqS
0.087899543,0.463855422,2.062626139,2FXC3k01G6Gw61bmprjgqS,00FQb4jTyendYWaN8pK0wa
0.094748858,0.421319797,1.72465487,00FQb4jTyendYWaN8pK0wa,2h93pZq0e7k5yf4dywlkpM
0.094748858,0.387850467,1.72465487,2h93pZq0e7k5yf4dywlkpM,00FQb4jTyendYWaN8pK0wa
0.086757991,0.385786802,1.515467438,00FQb4jTyendYWaN8pK0wa,2wY79sveU1sp5g7SokKOiI
0.086757991,0.340807175,1.515467438,2wY79sveU1sp5g7SokKOiI,00FQb4jTyendYWaN8pK0wa
0.107305936,0.47715736,1.671959391,00FQb4jTyendYWaN8pK0wa,31TPClRtHm23RisEBtV3X7
0.107305936,0.376,1.671959391,31TPClRtHm23RisEBtV3X7,00FQb4jTyendYWaN8pK0wa
0.081050228,0.360406091,1.913428703,00FQb4jTyendYWaN8pK0wa,4dpARuHxo51G3z768sgnrY
0.081050228,0.43030303,1.913428703,4dpARuHxo51G3z768sgnrY,00FQb4jTyendYWaN8pK0wa
0.111872146,0.497461929,1.663269656,00FQb4jTyendYWaN8pK0wa,4gzpq5DPGxSnKTe4SA8HAU
0.111872146,0.374045802,1.663269656,4gzpq5DPGxSnKTe4SA8HAU,00FQb4jTyendYWaN8pK0wa
0.094748858,0.421319797,1.757505439,00FQb4jTyendYWaN8pK0wa,53XhwfbYqKCa1cC15pYq2q
0.094748858,0.395238095,1.757505439,53XhwfbYqKCa1cC15pYq2q,00FQb4jTyendYWaN8pK0wa
0.082191781,0.365482234,1.88330845,00FQb4jTyendYWaN8pK0wa,5Pwc4xIPtQLFEnJriah9YJ
0.082191781,0.423529412,1.88330845,5Pwc4xIPtQLFEnJriah9YJ,00FQb4jTyendYWaN8pK0wa
0.110730594,0.492385787,1.711626783,00FQb4jTyendYWaN8pK0wa,5WUlDfRSoLAfcVSX1WnrxN
0.110730594,0.384920635,1.711626783,5WUlDfRSoLAfcVSX1WnrxN,00FQb4jTyendYWaN8pK0wa
0.150684932,0.670050761,1.56107571,00FQb4jTyendYWaN8pK0wa,5pKCCKE2ajJHZ9KAiaK11H
0.150684932,0.35106383,1.56107571,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa
0.118721461,0.527918782,1.531314082,00FQb4jTyendYWaN8pK0wa,66CXWjxzNUsdJxJ2JdwvnR
0.118721461,0.344370861,1.531314082,66CXWjxzNUsdJxJ2JdwvnR,00FQb4jTyendYWaN8pK0wa
0.110730594,0.492385787,1.574196895,00FQb4jTyendYWaN8pK0wa,69GGBxA162lTqCwzJG5jLp
0.110730594,0.354014599,1.574196895,69GGBxA162lTqCwzJG5jLp,00FQb4jTyendYWaN8pK0wa
0.111872146,0.497461929,1.545307269,00FQb4jTyendYWaN8pK0wa,6LuN9FCkKOj5PcnpouEgny
0.111872146,0.34751773,1.545307269,6LuN9FCkKOj5PcnpouEgny,00FQb4jTyendYWaN8pK0wa
0.108447489,0.482233503,1.582159357,00FQb4jTyendYWaN8pK0wa,6eUKZXaKkcviH0Ku9w2n3V
