support,confidence,lift,artistID1,artistID2,artistID3
0.089041096,0.402061856,1.787848658,1Xyo4u8uXC1ZmMpatF05PJ,7CajNmpbOovFoOoasH2HaY,00FQb4jTyendYWaN8pK0wa
0.097031963,0.867346939,1.787755102,00FQb4jTyendYWaN8pK0wa,246dkjvS1zLTtiykXe5h60,3TVXtAsR1Inumwj472S9r4
0.097031963,0.6640625,1.864483173,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,246dkjvS1zLTtiykXe5h60
0.097031963,0.338645418,1.505854754,246dkjvS1zLTtiykXe5h60,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.084474886,0.755102041,1.759227095,00FQb4jTyendYWaN8pK0wa,246dkjvS1zLTtiykXe5h60,5pKCCKE2ajJHZ9KAiaK11H
0.084474886,0.560606061,1.574009324,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,246dkjvS1zLTtiykXe5h60
0.084474886,0.37,1.645279188,5pKCCKE2ajJHZ9KAiaK11H,246dkjvS1zLTtiykXe5h60,00FQb4jTyendYWaN8pK0wa
0.082191781,0.734693878,1.8283859,00FQb4jTyendYWaN8pK0wa,246dkjvS1zLTtiykXe5h60,7CajNmpbOovFoOoasH2HaY
0.082191781,0.610169492,1.713168188,00FQb4jTyendYWaN8pK0wa,7CajNmpbOovFoOoasH2HaY,246dkjvS1zLTtiykXe5h60
0.082191781,0.369230769,1.641858649,246dkjvS1zLTtiykXe5h60,7CajNmpbOovFoOoasH2HaY,00FQb4jTyendYWaN8pK0wa
0.100456621,0.897959184,1.850852341,00FQb4jTyendYWaN8pK0wa,2YZyLoL8N0Wb9xBt1NhZWg,3TVXtAsR1Inumwj472S9r4
0.100456621,0.6875,2.020973154,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,2YZyLoL8N0Wb9xBt1NhZWg
0.100456621,0.352,1.565238579,2YZyLoL8N0Wb9xBt1NhZWg,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.085616438,0.765306122,1.915451895,00FQb4jTyendYWaN8pK0wa,2YZyLoL8N0Wb9xBt1NhZWg,5K4W6rqBFWDnAN6FQUkS6x
0.085616438,0.681818182,2.004270897,5K4W6rqBFWDnAN6FQUkS6x,00FQb4jTyendYWaN8pK0wa,2YZyLoL8N0Wb9xBt1NhZWg
0.085616438,0.360576923,1.603377587,5K4W6rqBFWDnAN6FQUkS6x,2YZyLoL8N0Wb9xBt1NhZWg,00FQb4jTyendYWaN8pK0wa
