support,confidence,lift,trackID1,trackID2,trackID3
0.02739726,0.666666667,12.16666667,5icOoE6VgqFKohjWWNp0Ac,09oZ9eXQ2fo6YDrPzJqAoP,0uUNN1nSoUx1A4fkDCWDQ7
0.02739726,0.585365854,8.841042893,0uUNN1nSoUx1A4fkDCWDQ7,5icOoE6VgqFKohjWWNp0Ac,09oZ9eXQ2fo6YDrPzJqAoP
0.026255708,0.821428571,8.367109635,0uUNN1nSoUx1A4fkDCWDQ7,09oZ9eXQ2fo6YDrPzJqAoP,6nDKrPlXdpomGBgAlO7UdP
0.026255708,0.621621622,11.34459459,6nDKrPlXdpomGBgAlO7UdP,09oZ9eXQ2fo6YDrPzJqAoP,0uUNN1nSoUx1A4fkDCWDQ7
0.026255708,0.621621622,9.388630009,0uUNN1nSoUx1A4fkDCWDQ7,6nDKrPlXdpomGBgAlO7UdP,09oZ9eXQ2fo6YDrPzJqAoP
0.028538813,0.892857143,9.776785714,0uUNN1nSoUx1A4fkDCWDQ7,09oZ9eXQ2fo6YDrPzJqAoP,6u7jPi22kF8CTQ3rb9DHE7
0.028538813,0.641025641,11.69871795,6u7jPi22kF8CTQ3rb9DHE7,09oZ9eXQ2fo6YDrPzJqAoP,0uUNN1nSoUx1A4fkDCWDQ7
0.028538813,0.641025641,9.681697613,0uUNN1nSoUx1A4fkDCWDQ7,6u7jPi22kF8CTQ3rb9DHE7,09oZ9eXQ2fo6YDrPzJqAoP
0.026255708,0.821428571,19.98809524,0uUNN1nSoUx1A4fkDCWDQ7,09oZ9eXQ2fo6YDrPzJqAoP,7DHApOHsIFo7EyfieArYGE
0.026255708,0.793103448,14.47413793,09oZ9eXQ2fo6YDrPzJqAoP,7DHApOHsIFo7EyfieArYGE,0uUNN1nSoUx1A4fkDCWDQ7
0.026255708,0.884615385,13.36074271,0uUNN1nSoUx1A4fkDCWDQ7,7DHApOHsIFo7EyfieArYGE,09oZ9eXQ2fo6YDrPzJqAoP
0.026255708,0.821428571,18.45054945,0uUNN1nSoUx1A4fkDCWDQ7,09oZ9eXQ2fo6YDrPzJqAoP,7njKgVl3AnLflRad38o7AG
0.026255708,0.821428571,14.99107143,09oZ9eXQ2fo6YDrPzJqAoP,7njKgVl3AnLflRad38o7AG,0uUNN1nSoUx1A4fkDCWDQ7
0.026255708,0.851851852,12.86590038,0uUNN1nSoUx1A4fkDCWDQ7,7njKgVl3AnLflRad38o7AG,09oZ9eXQ2fo6YDrPzJqAoP
0.026255708,0.696969697,11.9714795,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,1tNJrcVe6gwLEiZCtprs1u
0.026255708,0.821428571,13.32539683,09oZ9eXQ2fo6YDrPzJqAoP,1tNJrcVe6gwLEiZCtprs1u,11cDEev79fPKi6uJCjUhu8
0.026255708,0.92,13.89517241,11cDEev79fPKi6uJCjUhu8,1tNJrcVe6gwLEiZCtprs1u,09oZ9eXQ2fo6YDrPzJqAoP
0.030821918,0.818181818,7.544497608,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,2Fxmhks0bxGSBdJ92vM42m
0.030821918,0.72972973,11.83783784,2Fxmhks0bxGSBdJ92vM42m,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.030821918,0.84375,12.74353448,11cDEev79fPKi6uJCjUhu8,2Fxmhks0bxGSBdJ92vM42m,09oZ9eXQ2fo6YDrPzJqAoP
0.029680365,0.787878788,11.31445604,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,35RDmXJ59YYGNlv1KfTGsP
0.029680365,0.722222222,11.71604938,35RDmXJ59YYGNlv1KfTGsP,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.029680365,0.866666667,13.08965517,11cDEev79fPKi6uJCjUhu8,35RDmXJ59YYGNlv1KfTGsP,09oZ9eXQ2fo6YDrPzJqAoP
