support,confidence,lift,trackID1,trackID2
0.01826484,0.4,12.51428571,01DOm09B2AbiTARAbXVI6g,23OXdR7YuUBVWh5hSnYJau
0.01826484,0.571428571,12.51428571,23OXdR7YuUBVWh5hSnYJau,01DOm09B2AbiTARAbXVI6g
0.010273973,0.225,4.479545455,01DOm09B2AbiTARAbXVI6g,2E124GmJRnBJuXbTb4cPUB
0.010273973,0.204545455,4.479545455,2E124GmJRnBJuXbTb4cPUB,01DOm09B2AbiTARAbXVI6g
0.021689498,0.475,4.38,01DOm09B2AbiTARAbXVI6g,2Fxmhks0bxGSBdJ92vM42m
0.021689498,0.2,4.38,2Fxmhks0bxGSBdJ92vM42m,01DOm09B2AbiTARAbXVI6g
0.01369863,0.3,5.363265306,01DOm09B2AbiTARAbXVI6g,2GGMabyHXnJmjY6CXhhB2e
0.01369863,0.244897959,5.363265306,2GGMabyHXnJmjY6CXhhB2e,01DOm09B2AbiTARAbXVI6g
0.028538813,0.625,6.759259259,01DOm09B2AbiTARAbXVI6g,2IRZnDFmlqMuOrYOLnZZyc
0.028538813,0.308641975,6.759259259,2IRZnDFmlqMuOrYOLnZZyc,01DOm09B2AbiTARAbXVI6g
0.01826484,0.4,20.61176471,01DOm09B2AbiTARAbXVI6g,2Jh3UqxnHJMyzMzku4uOtE
0.01826484,0.941176471,20.61176471,2Jh3UqxnHJMyzMzku4uOtE,01DOm09B2AbiTARAbXVI6g
0.028538813,0.625,6.759259259,01DOm09B2AbiTARAbXVI6g,2JvzF1RMd7lE3KmFlsyZD8
0.028538813,0.308641975,6.759259259,2JvzF1RMd7lE3KmFlsyZD8,01DOm09B2AbiTARAbXVI6g
0.017123288,0.375,12.63461538,01DOm09B2AbiTARAbXVI6g,2MJdgSby3DtSS7bUJx2cly
0.017123288,0.576923077,12.63461538,2MJdgSby3DtSS7bUJx2cly,01DOm09B2AbiTARAbXVI6g
0.017123288,0.375,8.878378378,01DOm09B2AbiTARAbXVI6g,2S1LebN6AXXQqJolBxlWgO
0.017123288,0.405405405,8.878378378,2S1LebN6AXXQqJolBxlWgO,01DOm09B2AbiTARAbXVI6g
0.017123288,0.375,19.32352941,01DOm09B2AbiTARAbXVI6g,2VGD6mGeuv6aORaU0vKsHB
0.017123288,0.882352941,19.32352941,2VGD6mGeuv6aORaU0vKsHB,01DOm09B2AbiTARAbXVI6g
0.011415525,0.25,7.064516129,01DOm09B2AbiTARAbXVI6g,2Vx8E3K5icPZR7OCklWBXX
0.011415525,0.322580645,7.064516129,2Vx8E3K5icPZR7OCklWBXX,01DOm09B2AbiTARAbXVI6g
0.01369863,0.3,3.285,01DOm09B2AbiTARAbXVI6g,2dpaYNEQHiRxtZbfNsse99
0.01369863,0.15,3.285,2dpaYNEQHiRxtZbfNsse99,01DOm09B2AbiTARAbXVI6g
0.023972603,0.525,13.52647059,01DOm09B2AbiTARAbXVI6g,2gwkD6igEhQbDQegRCcdoB
0.023972603,0.617647059,13.52647059,2gwkD6igEhQbDQegRCcdoB,01DOm09B2AbiTARAbXVI6g
0.01826484,0.4,6.257142857,01DOm09B2AbiTARAbXVI6g,2qG5sZ7Si6sdK74qLxedYM
0.01826484,0.285714286,6.257142857,2qG5sZ7Si6sdK74qLxedYM,01DOm09B2AbiTARAbXVI6g
0.014840183,0.325,17.79375,01DOm09B2AbiTARAbXVI6g,2qGfZAgDe1pV2y5xJAhi6R
0.014840183,0.8125,17.79375,2qGfZAgDe1pV2y5xJAhi6R,01DOm09B2AbiTARAbXVI6g
0.015981735,0.35,9.58125,01DOm09B2AbiTARAbXVI6g,2qfEcCkEo5NscA9GL7ER72
0.015981735,0.4375,9.58125,2qfEcCkEo5NscA9GL7ER72,01DOm09B2AbiTARAbXVI6g
0.01826484,0.4,7.455319149,01DOm09B2AbiTARAbXVI6g,2qxmye6gAegTMjLKEBoR3d
0.01826484,0.340425532,7.455319149,2qxmye6gAegTMjLKEBoR3d,01DOm09B2AbiTARAbXVI6g
